evresine geçilmiş,evre geçil
tekrarıyla yetinilecektir,tekrar yetinilecek
meydanında dövdürürüm,meydan dövdürür
kırdırırım kızını,kırdırır kız
kızını okuldan,kız okul
kızını bekaret,kız bekaret
okuldan kaldırtırım,okul kaldırtır
arabayla çamlığa,araba çamlık
sokaktan bulvara,sokak bulvar
oluşturdukları korkutucu,oluşturduk korkutuç
ford connect,ford connect
yükümlülüklerden kaçınmak,yükümlülük kaçınmak
bantlı konveyör,bantlı konveyör
konveyör ekipmanları,konveyör ekipman
dizel kulikar,dizel kulikar
dizel monoray,dizel monoray
didim yenihisar,didi yenihisar
işletmesel kökenlerinin,işletmesel köken
sebebinden bahsedilebilmesi,sebep bahsedilebilmes
kuralından çıkarılmaktadır,kural çıkarılmak
ifasında mahsubun,ifa mahsup
vereceklerini vaadederek,verecek vaadederek
beyannamelerinin hazırlandığını,beyanname hazırlandık
eylemlerden ilkinin,eylem ilki
olimpik yüzme,olimpik yüzme
durumlarını ayrıştırarak,durum ayrıştırarak
örtü alında,ör al
kelime kullanmasından,kel kullanma
atan tabancalarda,a tabanca
dönüştürülmüş fişekleri,dönüştürül fişek
fişekleri atabildiğinin,fişek atabildik
ortalarında anamurda,orta anamur
anamurda çilekleri,anamur çilek
paramızı vermedi,para vermedi
koyun otlatma,koy otlatma
koyun sürülerini,koy sürü
tutarlarını hesaplamak,tutar hesaplamak
sahtesi oluşturularak,sahtes oluşturularak
boyutunda abrazyon,boyut abrazyo
boşluğunu ikiye,boşluk iki
ikiye ayırdığını,iki ayırdık
furkan nazim,furka naz
şüphelileri yargılamadan,şüpheli yargılama
suçluları korumuştur,suçlu korumuş
suçluları koruyacak,suçlu koruyacak
içimlik bonzai,içimlik bonzai
amirliğine götürülmüş,amirlik götürül
sakatlayan müdahalelerde,sakatlaya müdahale
müdahalelerde bulunabileceğini,müdahale bulunabilecek
pınarbaşı boztoprak,pınarbaş boztoprak
demekle yetinmiştir,demek yet
sıkça karşılaşıldığı,sıkça karşılaşıldık
özgürlüğünden yararlanmayacak,özgürlük yararlanmayacak
tipik hakaretleri,tipik hakaret
direnç gösterdiğinin,direnç gösterdik
şubelerindeki kredili,şube kredil
kutsal burcu,kutsal burcu
yaklaşarak malazgirt,yaklaşarak malazgirt
sentetik kannabinoid,sentetik kannabinoidi
kesilmediğini faturalarının,kesilmedik fatura
faturalarının büroda,fatura büro
sayan ülkücü,saya ülküç
insanın katilini,insa katil
insanın çevresiyle,insa çevre
generallerini terörist,general terörist
evlatlarım zengin,evlat zengi
yapmışımdır dedikten,yap dedik
paryelde balta,paryel bal
yarısında yumruklaşmaya,yarı yumruklaşma
limanına şöför,liman şöför
kumar oyanması,kumar oyanmas
kumar oynanması,kumar oynanmas
endişesine kapılan,endişe kapıla
ulaşmış örgütlerin,ulaş örgüt
baskının etkisinden,baskı etki
sorumluluğundaki ambarlarda,sorumluluk ambar
kazandığından bahsedilemeyecektir,kazandık bahsedilemeyecek
ayakkabının tabanında,ayakkap taban
mesaiyle çalışıldığında,mesai çalışıldık
takımının maç,takım maç
tolga tugay,tolga tugay
pantolonunu indirmiş,pantolon indir
oldu nişanlımın,ol nişanl
birader burası,birader buras
özür dilediğini,özür diledik
özür dilemesine,özür dileme
kesinlikle önler,kesinlik ön
mesafe kala,mesaf kal
tahkikatı bitirip,tahkikat bitirip
fakültede okuduğu,fakülte okuduk
fakültede okumasına,fakülte okuma
akıllara magosa,akıl magos
ebedi düşmanları,ebedi düşman
heyetiniz hatırlanacaktır,heyet hatırlanacak
makamında oturanların,makam otura
ederseniz heyetiniz,eder heyet
yargılanacaksınız öyle,yargılanacak ö
sizin tutacağınız,siz tutacak
katip hatice,katip hatiç
katibi hatice,katip hatiç
faillerini yakalamak,fail yakalamak
direklerinin yerleştirilmesi,direk yerleştirilmes
karayılan köymahallesi,karayıla köymahalles
ticaretle uğraşmakta,ticaret uğraşmak
duydukça arazilerini,duydukça arazi
bakımın semen,bak seme
ilgilenip ilgilenmediği,ilgilenip ilgilenmedik
böbrek harabiyetiyle,böbrek harabiyet
böbrek dalak,böbrek dalak
basamağa yükselerek,basamak yükselerek
notu alamayacağını,not alamayacak
verimliliği amirlerine,verimlilik amir
gayreti sütunlarının,gayret sütun
ispatlayıp ispatlayamadığının,ispatlayıp ispatlayamadık
olayını gelininden,olay gelin
kaldırırız bacaklarını,kaldırır bacak
bacaklarını kıracağım,bacak kıracak
çelişkiyi giderebilecek,çelişki giderebilecek
projelerde aksama,proje aksa
atmış olabileceklerini,at olabilecek
pvc doğrama,pvc doğra
agresif tavırları,agresif tavır
kanıtlanmadığını bilakis,kanıtlanmadık bilakis
şeridi tablolarında,şeridi tablo
pazarında nalbur,pazar nalbur
aykırılığından bahsedilmiş,aykırılık bahsedil
akitten amaçladıklarını,akit amaçladık
intihara yönlendirilmiş,intihar yönlendiril
bahçesindeki otları,bahçes ot
otları toplayıp,ot toplayıp
söğüt ağacına,söğüt ağaç
tutukluları gönderdikten,tutuklu gönderdik
düzeye ulaşmadığından,düze ulaşmadık
düşükaz olana,düşükaz ola
borçlanmadan yararlanamayacaklarını,borçlanma yararlanamayacak
yapmaktan yasaklanmayı,yapmak yasaklanma
erdirerek yerleşmek,erdirerek yerleşmek
kandan ölçüm,ka ölç
ihalelere girmemesi,ihale girmemes
uğratacaklarının bildirilerek,uğratacak bildirilerek
geçirmeksizin toptancı,geçirmeksiz toptancı
kafaya çarpıştığı,kafa çarpıştık
mutfak robotunu,mutfak robot
tutukluğu gidererek,tutukluk gidererek
giderip gidermediği,giderip gidermedik
peşinden ısrarlı,peş ısrarlı
eyurtdışı talimatının,eyurtdış talimat
talimatının uygulanamayacağını,talimat uygulanamayacak
çalışmayacağım gidiyorum,çalışmayacak gidiyor
süleyman sevim,süleyma sev
istinad duvarının,istinadı duvar
duvarının güçlendirme,duvar güçlendirme
yakınlarının telkinleriyle,yakın telkin
bilgisayarının harddiskini,bilgisayar harddisk
davetiyesi gönderilebileceği,davetiyes gönderilebilecek
hasine güneşin,has güneş
güneşin doğuş,güneş doğuş
melekelerin zayıflığından,meleke zayıflık
huluslarından faydalanan,hulus faydalana
itirazıyla karşılaşmalarının,itiraz karşılaşma
italyanın napoli,italya napoli
italyanın trieste,italya tries
almanya lepsikte,almanya lepsik
almanya hanoverde,almanya hanover
tırı şalzburkdan,tır şalzburk
cezalandirilmalarina ibarelerinden,cezalandirilma ibare
paniğe kapılan,panik kapıla
basınç fittings,basınç fittings
zarfların şartnamesine,zarf şartname
şartnamedeki prosedüre,şartname prosedür
firmalarında plasiyer,firma plasiyer
belirsizlik ortamına,belirsizlik ortam
dayanırsa dayansın,dayanır daya
düşüren müddetler,düşüre müddet
poliçenin notlar,poliçe not
yabancının yurtdışına,yabancı yurtdış
suriye arap,suri arap
sezonuna çağrılacağı,sezon çağrılacak
eksilme olmaya,eksilme olma
kurguladığı senaryo,kurguladık senaryo
kullanıyordu derken,kullanıyor der
biçer döverin,biçer döver
biçer döver,biçer döver
mahrem alanlara,mahre alan
molotof kokteyli,molotof kokteyli
söndürüldüğü zırhlı,söndürüldük zırhlı
yapanı bilirkişiyi,yapa bilirkişi
faydalanmadığı anlaşılmamaktadır,faydalanmadık anlaşılmamak
sorgulama çıktılarının,sorgula çıktı
sorgulama çıktılarından,sorgula çıktı
boşandıkları boşanmadan,boşandık boşanma
işverendevlet katkısı,işverendevlet katkıs
korkuluk demirlerine,korkuluk demir
korkuluk borularının,korkuluk boru
geleneksel duygularla,geleneksel duygu
geleneksel kek,geleneksel kek
yaşanabilecek olumsuzluklar,yaşanabilecek olumsuzluk
teknikeri ilhami,tekniker ilha
kameradan alkolü,kamera alkolü
içkilerin fotoğrafının,içki fotoğraf
kapatılıp kapatılmadığının,kapatılıp kapatılmadık
havva dersenin,havva derse
benzin ağırlama,benz ağırla
artuk gökçen,artuk gökçe
cesedinin ormanda,cesedi orma
yerleştirdiği naklettiği,yerleştirdik naklettik
zorlayarak götürdüm,zorlayarak götür
sarıp ormana,sarıp orma
tarafımdan anlaşılamamış,taraf anlaşılamamış
vekaletnameli müdafisiyle,vekaletnamel müdafi
denizde arızalandı,de arızala
fırtına vardı,fırt var
çalışmasında asfaltlama,çalışma asfaltla
balyaivrindi devmet,balyaivr devmet
buğday tohumunda,buğday tohum
fişinin okunur,fiş okunur
fiillere katılmadan,fiil katılma
turan armağan,tura armağa
yaşar öden,yaşar ö
tamamlamadığını izinde,tamamlamadık iz
ahı kalmaz,ah kalmaz
kalmaz göreceksin,kalmaz görecek
hatemi serozan,hate seroza
serozan arpacı,seroza arpaç
serozan ifaifa,seroza ifaif
rono serozan,rono seroza
nereye harcandığı,nere harcandık
menfaatini korumadığı,menfaat korumadık
bipolar affektif,bipo affektif
bipolar duygulanım,bipo duygula
rıdvan çerçikayaya,rıdva çerçikaya
rıdvan gökgöz,rıdva gökgöz
cihan gürsoy,ciha gürsoy
çarpma noktasından,çarpma nokta
tasarlanan arge,tasarlana arge
teslimden kaçındığını,tesl kaçındık
teker kısmıyla,teker kısmı
kanunutmk uygulanacaksa,kanunutmk uygulanacak
büyüklüğe ulaşmış,büyüklük ulaş
örgütlerin idaresini,örgüt idare
idaresini kolaylaştıran,idare kolaylaştıra
emirkomuta zincirini,emirkomu zincir
zincirini kesmek,zincir kesmek
konuşmalarında lakap,konuşma lakap
fiyatı etkilemek,fiyat etkilemek
teklifte bulunulmayarak,teklif bulunulmayarak
eziyet çektirerek,eziyet çektirerek
ekmek bıçağının,ekmek bıçak
haczedilemez eklentinin,haczedilemez eklenti
gözlemcinin bakış,gözlemci bakış
sinkaf ettireceğim,sinkaf ettirecek
listede adları,liste ad
karahan group,karaha group
civarındaki içeceğin,civar içecek
odasını temizlemediği,oda temizlemedik
patik satacağını,patik satacak
anjiografisinde lad,anjiografi lad
kardiopulmoner resüsitasyona,kardiopulmoner resüsitasyo
pass eşlilğinde,pass eşlilk
yükseldiği enfeksiyon,yükseldik enfeksiyo
ağızdan beslenmeyi,ağız beslenme
beslenmeyi tolere,beslenme toler
ritim bozukluğunun,rit bozukluk
bozukluğunun ilaca,bozukluk ilaç
cpra yanıt,cpra yanıt
yükselen enfeksiyon,yüksele enfeksiyo
şubenin segmentölçek,şube segmentölçek
hizip anlayışına,hizip anlayış
bitimin skalası,bit skalas
skala tesbitine,skal tesbit
azalışı olabildiği,azalış olabildik
yalanın ustaca,yala ustaç
aslını bulamamaktayız,asl bulamamak
gayrimenkullerini satmaları,gayrimenkul satma
kasap dükkanına,kasap dükkan
bahsedip kampanyaya,bahsedip kampanya
depolanması ihracı,depolanmas ihraç
başlarından savdıklarıbu,baş savdıklarıbu
yla evlenme,yla evlenme
pencere panjurunun,pencer panjur
sorulan sorulara,sorula soru
gidecekleri saha,gidecek sah
yapılabilmesinin önü,yapılabilme ön
burak bozdağ,burak bozdak
törelerini korumayı,töre koruma
zeynep ardal,zeynep ardal
zeynep ardalın,zeynep ardal
yavuz yozgatın,yavuz yozgat
ardalın yavuz,ardal yavuz
şahıslarla evlendikleri,şahıs evlendik
edeceğim sözleriyle,edecek söz
seçkine armağan,seçk armağa
kızlarını kaçırmakla,kız kaçırmak
açtığında kutuların,açtık kut
endişeye kapıldığı,endişe kapıldık
öğrendiğinde kızlarını,öğrendik kız
muharrer senetlerle,muharrer senet
tamamlattırılmasını belirsizlik,tamamlattırılma belirsizlik
yattığı kalanın,yattık kala
iddiadaki işgallerin,iddia işgal
iskelet traksiyonu,iskelet traksiyo
kalkmamasını telkin,kalkmama telk
arazide mısır,arazi mısır
mısır ekildiğini,mısır ekildik
