uygun olduğu,uygu olduk
tarafından sanığın,taraf sanık
ceza yapılan,ceza yapıla
göre ilişkin,gör ilişk
ilişkin göre,ilişk gör
kararın geçici,karar geçiç
geçici kararın,geçiç karar
olan davanın,ola dava
düşünüldü maddesinde,düşünül madde
maddesinde düşünüldü,madde düşünül
kararın mahkemesince,karar mahkeme
yerinde sanığın,yer sanık
dosyanın olan,dosya ola
sanığın tarafından,sanık taraf
olan iş,ola iş
kararın cmknin,karar cmknin
adli kararın,adli karar
basit itirazlarının,basit itiraz
itirazlarının basit,itiraz basit
düşünüldü cmknın,düşünül cmknın
görüşülüp basit,görüşülüp basit
basit görüşülüp,basit görüşülüp
basit düzenlenen,basit düzenlene
olan şekilde,ola şekil
